dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
ecdc/worldwide	8c099fce8899	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-16	77	1					-20	-20	-21	1			1	0.296			0.296				100	1			1					26.316			29.412	13880	337721	7.4	32.8
ecdc/worldwide	afe8d0f49d96	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-20	81	5					-16	-16	-17	3			3	0.888			0.888				100	2			2	200			200	52.632			58.824	13880	337721	7.4	32.8
ecdc/worldwide	cef1cc12b460	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-21	82	6					-15	-15	-16	4			4	1.184			1.184				100	1			1	33.333			33.333	26.316			29.412	13880	337721	7.4	32.8
ecdc/worldwide	9ea3a0dd6758	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-26	87	11					-10	-10	-11	5			5	1.481			1.481				100	1			1	25			25	26.316			29.412	13880	337721	7.4	32.8
ecdc/worldwide	d5a7d5c85c61	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-27	88	12					-9	-9	-10	9			9	2.665			2.665				100	4			4	80			80	105.263			117.647	13880	337721	7.4	32.8
ecdc/worldwide	be1fcc1cddd7	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-29	90	14	1				-7	-7	-8	11			11	3.257			3.257				100	2			2	22.222			22.222	52.632			58.824	13880	337721	7.4	32.8
ecdc/worldwide	63242aa16421	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-03-30	91	15	2				-6	-6	-7	14			14	4.145			4.145				100	3			3	27.273			27.273	78.947			88.235	13880	337721	7.4	32.8
ecdc/worldwide	11a276411262	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-01	93	17	4				-4	-4	-5	15			15	4.442			4.442				100	1			1	7.143			7.143	26.316			29.412	13880	337721	7.4	32.8
ecdc/worldwide	0fd673534a18	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-02	94	18	5				-3	-3	-4	21	1		20	6.218	0.296		5.922		4.762		95.238	6	1		5	40			33.333	157.895	100		147.059	13880	337721	7.4	32.8
ecdc/worldwide	3861df5c187b	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-03	95	19	6				-2	-2	-3	24	1		23	7.106	0.296		6.81		4.167		95.833	3			3	14.286			15	78.947			88.235	13880	337721	7.4	32.8
ecdc/worldwide	6654d32dc942	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-04	96	20	7				-1	-1	-2	24	3		21	7.106	0.888		6.218		12.5		87.5		2		-2		200		-8.696		200		-58.824	13880	337721	7.4	32.8
ecdc/worldwide	6536c8068971	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-05	97	21	8				-0	0	-1	28	4		24	8.291	1.184		7.106		14.286		85.714	4	1		3	16.667	33.333		14.286	105.263	100		88.235	13880	337721	7.4	32.8
ecdc/worldwide	29e7b651ba3d	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-06	98	22	9				0	1	0	29	5		24	8.587	1.481		7.106		17.241		82.759	1	1			3.571	25			26.316	100			13880	337721	7.4	32.8
ecdc/worldwide	14ad492135b4	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-07	99	23	10				1	2	1	33	5		28	9.771	1.481		8.291		15.152		84.848	4			4	13.793			16.667	105.263			117.647	13880	337721	7.4	32.8
ecdc/worldwide	3f021f314fc5	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-08	100	24	11				2	3	2	36	6		30	10.66	1.777		8.883		16.667		83.333	3	1		2	9.091	20		7.143	78.947	100		58.824	13880	337721	7.4	32.8
ecdc/worldwide	faea4876ba25	14d5d30b5cde	total-country	Bahamas	BS	Bahamas			24.25	-76	Americas	Caribbean	2020-04-09	101	25	12				3	4	3	40	7		33	11.844	2.073		9.771		17.5		82.5	4	1		3	11.111	16.667		10	105.263	100		88.235	13880	337721	7.4	32.8
