dataset	data_key	location_key	location_type	location_label	country_code	country	province	administrative	location_lat	location_long	region	subregion	date	day_index_0	day_index_1	day_index_10	day_index_100	day_index_1k	day_index_10k	day_index_peak	day_index_peak_confirmed	day_index_peak_deaths	absolute_confirmed	absolute_deaths	absolute_recovered	absolute_infected	absolute_pop100k_confirmed	absolute_pop100k_deaths	absolute_pop100k_recovered	absolute_pop100k_infected	relative_confirmed	relative_deaths	relative_recovered	relative_infected	delta_confirmed	delta_deaths	delta_recovered	delta_infected	deltapct_confirmed	deltapct_deaths	deltapct_recovered	deltapct_infected	peakpct_confirmed	peakpct_deaths	peakpct_recovered	peakpct_infected	factbook_area	factbook_population	factbook_death_rate	factbook_median_age
jhu/daily	bf7c9c6b8c78	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-15	54	1					-14	-17	-11	2			2	0.1034782131796061			0.1034782131796061				100	2			2					12.34567901234568			16.129032258064516	10887	1932774	7	30.5
jhu/daily	2c6998a2bb0c	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-26	65	12	1				-3	-6	0	71	1		70	3.673476567876017	0.05173910658980305		3.621737461286214		1.4084507042253522		98.59154929577466	69	1		68	3450			3400	425.925925925926	100		548.3870967741935	10887	1932774	7	30.5
jhu/daily	e3c846901248	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-27	66	13	2				-2	-5	1	86	1	1	84	4.449563166723062	0.05173910658980305	0.05173910658980305	4.346084953543457		1.1627906976744187	1.1627906976744187	97.67441860465115	15		1	14	21.12676056338028			20	92.5925925925926		29.411764705882355	112.9032258064516	10887	1932774	7	30.5
jhu/daily	f919214b3f1d	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-28	67	14	3				-1	-4	2	91	1	1	89	4.708258699672077	0.05173910658980305	0.05173910658980305	4.604780486492472		1.098901098901099	1.098901098901099	97.8021978021978	5			5	5.813953488372093			5.9523809523809526	30.864197530864203			40.32258064516129	10887	1932774	7	30.5
jhu/daily	fb16d4970709	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-29	68	15	4				0	-3	3	94	1	1	92	4.863476019441487	0.05173910658980305	0.05173910658980305	4.759997806261881		1.0638297872340425	1.0638297872340425	97.87234042553192	3			3	3.2967032967032965			3.3707865168539324	18.51851851851852			24.193548387096772	10887	1932774	7	30.5
jhu/daily	a71346e0f56c	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-03-31	70	17	6	1			2	-1	5	112	1	6	105	5.794779938057942	0.05173910658980305	0.31043463953881834	5.43260619192932		0.8928571428571428	5.357142857142857	93.75	18		5	13	19.148936170212767		500	14.130434782608695	111.11111111111111		147.05882352941177	104.83870967741935	10887	1932774	7	30.5
jhu/daily	c38c4d0b8578	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-04-01	71	18	7	2			3	0	6	125	1	10	114	6.467388323725381	0.05173910658980305	0.5173910658980305	5.898258151237548		0.8	8	91.2	13		4	9	11.607142857142858		66.66666666666667	8.571428571428571	80.24691358024691		117.64705882352942	72.58064516129032	10887	1932774	7	30.5
jhu/daily	c827e092530f	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-04-03	73	20	9	4			5	2	8	126	1	10	115	6.5191274303151845	0.05173910658980305	0.5173910658980305	5.949997257827351		0.7936507936507936	7.936507936507936	91.26984126984127	1			1	0.8			0.8771929824561403	6.17283950617284			8.064516129032258	10887	1932774	7	30.5
jhu/daily	9e2676e44364	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-04-04	74	21	10	5			6	3	9	135	1	16	118	6.984779389623412	0.05173910658980305	0.8278257054368487	6.105214577596761		0.7407407407407408	11.851851851851853	87.4074074074074	9		6	3	7.142857142857143		60	2.608695652173913	55.55555555555556		176.47058823529412	24.193548387096772	10887	1932774	7	30.5
jhu/daily	e03ce377c77f	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-04-05	75	22	11	6			7	4	10	145	1	23	121	7.502170455521442	0.05173910658980305	1.1899994515654702	6.2604318973661695		0.6896551724137931	15.862068965517242	83.44827586206897	10		7	3	7.407407407407407		43.75	2.542372881355932	61.728395061728406		205.8823529411765	24.193548387096772	10887	1932774	7	30.5
jhu/daily	3215207a15e8	7fd7261173b8	total-country	Kosovo	XK	Kosovo			42.666667	21.166667	Europe	Eastern Europe	2020-04-07	77	24	13	8			9	6	12	170	4	24	142	8.79564812026652	0.2069564263592122	1.2417385581552733	7.346953135752034		2.3529411764705883	14.117647058823529	83.52941176470588	25	3	1	21	17.24137931034483	300	4.3478260869565215	17.355371900826448	154.320987654321	300	29.411764705882355	169.35483870967744	10887	1932774	7	30.5
